sq_ft,bedrooms,bathrooms,distance_to_city,year_built,neighborhood_safety,public_transportation,housing_price
1200,2,1,2.5,2015,8,4,250000
1500,3,2,3.2,2010,7,3,300000
1800,4,2,4.1,2005,6,2,350000
2100,5,3,5.0,2000,5,1,400000
2400,3,2,2.0,1995,4,3,450000
1100,2,1,1.5,2020,9,5,220000
1400,3,2,2.7,2018,8,4,280000
1700,4,2,3.8,2013,7,3,330000
2000,5,3,4.7,2008,6,2,380000
2300,3,2,1.7,2003,5,1,430000
1000,2,1,1.0,2023,10,5,200000
1300,3,2,2.2,2021,9,4,260000
1600,4,2,3.3,2016,8,3,310000
1900,5,3,4.2,2011,7,2,360000
2200,3,2,1.3,2006,6,1,410000
900,2,1,0.8,2022,10,5,180000
1200,3,2,1.9,2020,9,4,240000
1500,4,2,2.9,2015,8,3,290000
1800,5,3,3.8,2010,7,2,340000
2100,3,2,0.8,2005,6,1,390000
800,2,1,0.3,2023,10,5,160000
1100,3,2,1.4,2021,9,4,220000
1400,4,2,2.4,2016,8,3,270000
1700,5,3,3.3,2011,7,2,320000
2000,3,2,0.3,2006,6,1,370000
700,2,1,0.0,2022,10,5,140000
1000,3,2,1.0,2020,9,4,200000
1300,4,2,2.0,2015,8,3,250000
1600,5,3,2.9,2010,7,2,300000
1900,3,2,0.0,2005,6,1,350000
600,2,1,0.5,2023,10,5,120000
1684,3,2,5,1967,3,2,781785
3521,2,1,6,1971,8,1,344583
2416,1,2,15,1979,1,3,668027
2248,3,2,16,1992,3,4,113902
3358,2,3,5,1980,4,4,784270
3694,3,1,12,1991,9,3,202614
1792,3,3,5,1979,9,4,84593
1001,4,3,9,1964,1,4,640113
3279,3,1,16,2014,4,3,663973
3878,3,1,16,1993,4,2,265188
3853,3,2,5,1938,1,4,857124
1952,4,1,1,1959,7,4,341014
2901,2,1,3,1930,9,4,222049
2910,1,1,12,1994,9,2,574108
3699,4,1,2,2022,5,4,724142
1817,2,2,18,2005,1,2,245342
2085,1,2,8,1902,4,2,664535
1415,3,2,0,1940,8,1,210543
1976,3,2,10,1993,7,1,303806
3917,3,3,15,1927,6,1,811278
3121,3,2,17,1964,2,2,980577
3010,2,3,17,1921,5,2,464570
3157,2,1,13,1969,2,3,208334
1630,4,1,7,1906,5,3,662262
1313,3,3,12,1900,2,2,364466
1584,1,1,11,1905,7,3,969162
2216,3,2,4,1995,5,3,208133
3233,3,3,2,2002,9,4,882736
2240,3,2,5,1904,7,2,307916
1649,2,3,15,1928,2,4,585876
2274,4,1,13,2002,7,1,903537
1405,4,3,6,1971,7,1,196044
3143,2,3,5,1988,2,4,845171
3329,1,2,4,1976,7,4,384861
3306,1,2,16,1976,5,3,70527
2948,1,3,18,1958,7,4,912978
1123,3,3,8,1936,2,4,921029
2342,4,3,3,1979,4,1,807565
2439,1,2,18,1984,6,3,482966
2339,3,3,13,1901,9,1,768320
1615,4,1,6,1995,5,3,795647
3191,4,3,16,1934,8,2,956536
1875,3,1,15,1955,2,3,148465
3977,3,1,18,1900,5,4,548529
3181,2,2,5,1901,3,4,147777
2693,2,1,11,1909,3,1,449403
1433,4,3,14,1944,4,1,143925
3043,2,1,0,1990,2,1,213420
1644,1,1,17,1926,4,1,952796
1095,1,2,16,1957,4,3,496562
2063,3,1,15,1900,2,3,210389
1511,3,2,8,1939,5,2,568305
2310,1,1,8,1923,4,4,510300
2064,4,2,5,1945,7,1,893179
2668,3,1,0,1945,7,3,120612
3042,1,1,5,1935,9,3,500438
1838,4,1,7,2004,9,4,467101
2296,4,3,10,1951,9,2,537134
1949,3,1,17,1922,8,1,191004
2195,2,2,14,1984,5,1,218301
1303,4,1,16,1904,9,3,876225
1365,3,2,13,1996,3,4,805747
2789,3,2,12,1908,7,4,478430
3940,1,3,10,1920,9,2,368332
3108,3,3,4,2022,2,1,164034
3545,3,3,17,1925,7,1,244451
1440,3,2,1,1985,7,4,452818
3360,3,1,15,1952,3,4,935929
2300,3,3,14,1920,6,2,785429
1655,4,3,2,1935,8,1,748427
2399,2,1,10,1985,6,3,586101
1164,2,3,9,1910,4,2,156937
3809,2,1,18,1947,4,3,430197
1256,1,3,7,1959,4,2,632713
3275,1,3,5,1965,5,4,934266
2450,2,3,1,1969,9,2,654464
3303,2,2,6,2003,9,3,140549
3107,4,1,2,1981,5,3,616195
3129,3,2,6,1911,3,2,722414
3667,1,1,16,1961,8,3,185122
1446,3,1,8,1965,8,4,168609
2437,3,1,16,1941,9,3,614806
3380,1,1,9,1952,1,1,706245
1860,4,3,5,1965,5,3,531295
1915,2,3,6,1995,1,1,783606
2185,4,2,12,2000,4,4,431228
3303,2,2,5,2001,6,4,878180
3140,4,1,10,2008,2,1,67460
2042,3,2,17,1950,3,3,213687
